"Datum";"Zählerstand morgens";"Zählerstand abends";"Produktion";"Eigen verbrauch";"eingespeist"
01.01.2014;15111;15125;17,50;3,50;14,00
02.01.2014;15125;15125;3,80;3,80;0,00
03.01.2014;15125;15127;5,40;3,40;2,00
04.01.2014;15127;15127;2,20;2,20;0,00
05.01.2014;15127;15127;2,70;2,70;0,00
06.01.2014;15127;15138;16,10;5,10;11,00
07.01.2014;15138;15145;10,00;3,00;7,00
08.01.2014;15145;15154;14,40;5,40;9,00
09.01.2014;15154;15162;12,70;4,70;8,00
10.01.2014;15162;15167;9,10;4,10;5,00
11.01.2014;15167;15168;2,70;1,70;1,00
12.01.2014;15168;15188;22,00;2,00;20,00
13.01.2014;15188;15199;17,40;6,40;11,00
14.01.2014;15199;15199;2,00;2,00;0,00
15.01.2014;15199;15219;27,70;7,70;20,00
16.01.2014;15219;15220;2,70;1,70;1,00
17.01.2014;15220;15221;6,00;5,00;1,00
18.01.2014;15221;15234;20,60;7,60;13,00
19.01.2014;15234;15238;10,20;6,20;4,00
20.01.2014;15238;15238;2,10;2,10;0,00
21.01.2014;15238;15239;2,50;1,50;1,00
22.01.2014;15239;15239;2,30;2,30;0,00
23.01.2014;15239;15240;5,00;4,00;1,00
24.01.2014;15240;15240;0,00;0,00;0,00
25.01.2014;15240;15242;3,80;1,80;2,00
26.01.2014;15242;15246;8,20;4,20;4,00
27.01.2014;15246;15251;8,00;3,00;5,00
28.01.2014;15251;15267;25,60;9,60;16,00
29.01.2014;15267;15272;11,40;6,40;5,00
30.01.2014;15272;15281;15,00;6,00;9,00
31.01.2014;15281;15298;25,20;8,20;17,00
01.02.2014;15298;15318;24,60;4,60;20,00
02.02.2014;15318;15321;7,00;4,00;3,00
03.02.2014;15321;15321;3,30;3,30;0,00
04.02.2014;15321;15332;17,40;6,40;11,00
05.02.2014;15332;15335;7,40;4,40;3,00
06.02.2014;15335;15354;25,40;6,40;19,00
07.02.2014;15354;15356;6,80;4,80;2,00
08.02.2014;15356;15363;11,00;4,00;7,00
09.02.2014;15363;15371;13,70;5,70;8,00
10.02.2014;15371;15373;5,30;3,30;2,00
11.02.2014;15373;15387;18,60;4,60;14,00
12.02.2014;15387;15404;23,20;6,20;17,00
13.02.2014;15404;15409;9,10;4,10;5,00
14.02.2014;15409;15429;28,90;8,90;20,00
15.02.2014;15429;15430;2,90;1,90;1,00
16.02.2014;15430;15434;8,30;4,30;4,00
17.02.2014;15434;15460;31,80;5,80;26,00
18.02.2014;15460;15477;23,60;6,60;17,00
19.02.2014;15477;15481;8,70;4,70;4,00
20.02.2014;15481;15510;36,30;7,30;29,00
21.02.2014;15510;15512;6,60;4,60;2,00
22.02.2014;15512;15540;32,20;4,20;28,00
23.02.2014;15540;15571;37,50;6,50;31,00
24.02.2014;15571;15612;50,20;9,20;41,00
25.02.2014;15612;15639;37,90;10,90;27,00
26.02.2014;15639;15665;31,70;5,70;26,00
27.02.2014;15665;15679;18,00;4,00;14,00
28.02.2014;15679;15712;41,10;8,10;33,00
01.03.2014;15712;15722;13,80;3,80;10,00
02.03.2014;15722;15727;10,00;5,00;5,00
03.03.2014;15727;15737;17,80;7,80;10,00
04.03.2014;15737;15754;22,80;5,80;17,00
05.03.2014;15754;15775;26,30;5,30;21,00
06.03.2014;15775;15798;34,50;11,50;23,00
07.03.2014;15798;15834;48,20;12,20;36,00
08.03.2014;15834;15878;48,30;4,30;44,00
09.03.2014;15878;15929;54,60;3,60;51,00
10.03.2014;15929;15971;52,40;10,40;42,00
11.03.2014;15971;16007;45,90;9,90;36,00
12.03.2014;16007;16054;53,70;6,70;47,00
13.03.2014;16054;16095;51,00;10,00;41,00
14.03.2014;16095;16137;50,50;8,50;42,00
15.03.2014;16137;16140;7,50;4,50;3,00
16.03.2014;16140;16149;13,20;4,20;9,00
17.03.2014;16149;16196;55,00;8,00;47,00
18.03.2014;16196;16228;40,30;8,30;32,00
19.03.2014;16228;16247;25,40;6,40;19,00
20.03.2014;16247;16297;57,20;7,20;50,00
21.03.2014;16297;16337;46,90;6,90;40,00
22.03.2014;16337;16342;7,30;2,30;5,00
23.03.2014;16342;16346;8,90;4,90;4,00
24.03.2014;16346;16368;28,10;6,10;22,00
25.03.2014;16368;16404;42,20;6,20;36,00
26.03.2014;16404;16445;47,20;6,20;41,00
27.03.2014;16445;16488;52,00;9,00;43,00
28.03.2014;16488;16534;55,20;9,20;46,00
29.03.2014;16534;16586;57,20;5,20;52,00
30.03.2014;16586;16630;54,20;10,20;44,00
31.03.2014;16630;16669;45,40;6,40;39,00
01.04.2014;16669;16705;43,30;7,30;36,00
02.04.2014;16705;16752;52,50;5,50;47,00
03.04.2014;16752;16780;31,80;3,80;28,00
04.04.2014;16780;16803;32,30;9,30;23,00
05.04.2014;16803;16809;10,80;4,80;6,00
06.04.2014;16809;16840;39,80;8,80;31,00
07.04.2014;16840;16879;45,10;6,10;39,00
08.04.2014;16879;16897;22,20;4,20;18,00
09.04.2014;16897;16939;49,50;7,50;42,00
10.04.2014;16939;16969;37,10;7,10;30,00
11.04.2014;16969;17018;59,80;10,80;49,00
12.04.2014;17018;17057;45,10;6,10;39,00
13.04.2014;17057;17100;52,00;9,00;43,00
14.04.2014;17100;17117;22,10;5,10;17,00
15.04.2014;17117;17129;19,70;7,70;12,00
16.04.2014;17129;17167;45,40;7,40;38,00
17.04.2014;17167;17218;62,70;11,70;51,00
18.04.2014;17218;17225;10,90;3,90;7,00
19.04.2014;17225;17235;15,80;5,80;10,00
20.04.2014;17235;17265;39,30;9,30;30,00
21.04.2014;17265;17292;36,80;9,80;27,00
22.04.2014;17292;17338;52,30;6,30;46,00
23.04.2014;17338;17377;47,90;8,90;39,00
24.04.2014;17377;17425;57,40;9,40;48,00
25.04.2014;17425;17471;53,00;7,00;46,00
26.04.2014;17471;17501;39,30;9,30;30,00
27.04.2014;17501;17510;15,40;6,40;9,00
28.04.2014;17510;17516;11,90;5,90;6,00
29.04.2014;17516;17536;29,50;9,50;20,00
30.04.2014;17536;17552;21,50;5,50;16,00
01.05.2014;17552;17582;41,00;11,00;30,00
02.05.2014;17582;17593;17,60;6,60;11,00
03.05.2014;17593;17597;7,40;3,40;4,00
04.05.2014;17597;17650;62,50;9,50;53,00
05.05.2014;17650;17696;57,70;11,70;46,00
06.05.2014;17696;17728;40,10;8,10;32,00
07.05.2014;17728;17752;29,90;5,90;24,00
08.05.2014;17752;17784;40,00;8,00;32,00
09.05.2014;17784;17819;37,60;2,60;35,00
10.05.2014;17819;17839;33,60;13,60;20,00
11.05.2014;17839;17881;46,70;4,70;42,00
12.05.2014;17881;17911;39,10;9,10;30,00
13.05.2014;17911;17937;34,30;8,30;26,00
14.05.2014;17937;17985;53,60;5,60;48,00
15.05.2014;17985;18007;27,20;5,20;22,00
16.05.2014;18007;18038;40,60;9,60;31,00
17.05.2014;18038;18073;42,40;7,40;35,00
18.05.2014;18073;18120;58,20;11,20;47,00
19.05.2014;18120;18156;43,50;7,50;36,00
20.05.2014;18156;18203;58,20;11,20;47,00
21.05.2014;18203;18252;58,20;9,20;49,00
22.05.2014;18252;18289;45,70;8,70;37,00
23.05.2014;18289;18331;52,70;10,70;42,00
24.05.2014;18331;18363;37,00;5,00;32,00
25.05.2014;18363;18412;59,50;10,50;49,00
26.05.2014;18412;18430;23,10;5,10;18,00
27.05.2014;18430;18442;17,80;5,80;12,00
28.05.2014;18442;18461;25,90;6,90;19,00
29.05.2014;18461;18476;23,90;8,90;15,00
30.05.2014;18476;18499;31,20;8,20;23,00
31.05.2014;18499;18540;50,60;9,60;41,00
01.06.2014;18540;18582;49,50;7,50;42,00
02.06.2014;18582;18625;50,10;7,10;43,00
03.06.2014;18625;18662;47,50;10,50;37,00
04.06.2014;18662;18692;36,30;6,30;30,00
05.06.2014;18692;18739;53,90;6,90;47,00
06.06.2014;18739;18789;60,20;10,20;50,00
07.06.2014;18789;18839;56,40;6,40;50,00
08.06.2014;18839;18890;59,10;8,10;51,00
09.06.2014;18890;18939;58,80;9,80;49,00
10.06.2014;18939;18985;53,60;7,60;46,00
11.06.2014;18985;19035;55,00;5,00;50,00
12.06.2014;19035;19079;51,00;7,00;44,00
13.06.2014;19079;19126;54,70;7,70;47,00
14.06.2014;19126;19154;33,80;5,80;28,00
15.06.2014;19154;19186;46,00;14,00;32,00
16.06.2014;19186;19234;55,00;7,00;48,00
17.06.2014;19234;19268;39,10;5,10;34,00
18.06.2014;19268;19308;50,50;10,50;40,00
19.06.2014;19308;19358;58,70;8,70;50,00
20.06.2014;19358;19388;35,50;5,50;30,00
21.06.2014;19388;19441;63,40;10,40;53,00
22.06.2014;19441;19499;63,00;5,00;58,00
23.06.2014;19499;19545;57,00;11,00;46,00
24.06.2014;19545;19596;63,20;12,20;51,00
25.06.2014;19596;19627;40,10;9,10;31,00
26.06.2014;19627;19681;63,50;9,50;54,00
27.06.2014;19681;19727;55,60;9,60;46,00
28.06.2014;19727;19751;29,80;5,80;24,00
29.06.2014;19751;19764;21,40;8,40;13,00
30.06.2014;19764;19790;33,50;7,50;26,00
01.07.2014;19790;19831;52,80;11,80;41,00
02.07.2014;19831;19853;29,90;7,90;22,00
03.07.2014;19853;19908;62,40;7,40;55,00
04.07.2014;19908;19944;45,90;9,90;36,00
05.07.2014;19944;19974;36,10;6,10;30,00
06.07.2014;19974;20022;55,40;7,40;48,00
07.07.2014;20022;20048;32,40;6,40;26,00
08.07.2014;20048;20052;8,50;4,50;4,00
09.07.2014;20052;20060;15,10;7,10;8,00
10.07.2014;20060;20067;15,20;8,20;7,00
11.07.2014;20067;20102;41,10;6,10;35,00
12.07.2014;20102;20116;24,90;10,90;14,00
13.07.2014;20116;20151;44,90;9,90;35,00
14.07.2014;20151;20187;42,50;6,50;36,00
15.07.2014;20187;20231;55,90;11,90;44,00
16.07.2014;20231;20275;50,90;6,90;44,00
17.07.2014;20275;20320;58,50;13,50;45,00
18.07.2014;20320;20373;60,00;7,00;53,00
19.07.2014;20373;20420;57,70;10,70;47,00
20.07.2014;20420;20444;31,00;7,00;24,00
21.07.2014;20444;20458;20,00;6,00;14,00
22.07.2014;20458;20466;14,80;6,80;8,00
23.07.2014;20466;20506;49,30;9,30;40,00
24.07.2014;20506;20554;55,60;7,60;48,00
25.07.2014;20554;20591;46,70;9,70;37,00
26.07.2014;20591;20602;15,50;4,50;11,00
27.07.2014;20602;20641;47,80;8,80;39,00
28.07.2014;20641;20680;50,00;11,00;39,00
29.07.2014;20680;20687;13,70;6,70;7,00
30.07.2014;20687;20694;12,40;5,40;7,00
31.07.2014;20694;20734;48,70;8,70;40,00
01.08.2014;20734;20767;41,10;8,10;33,00
02.08.2014;20767;20787;28,10;8,10;20,00
03.08.2014;20787;20810;29,20;6,20;23,00
04.08.2014;20810;20859;57,20;8,20;49,00
05.08.2014;20859;20884;33,80;8,80;25,00
06.08.2014;20884;20919;46,70;11,70;35,00
07.08.2014;20919;20950;38,50;7,50;31,00
08.08.2014;20950;20988;47,20;9,20;38,00
09.08.2014;20988;21021;40,60;7,60;33,00
10.08.2014;21021;21053;41,30;9,30;32,00
11.08.2014;21053;21082;37,60;8,60;29,00
12.08.2014;21082;21116;42,20;8,20;34,00
13.08.2014;21116;21123;13,80;6,80;7,00
14.08.2014;21123;21149;33,60;7,60;26,00
15.08.2014;21149;21168;26,90;7,90;19,00
16.08.2014;21168;21194;30,90;4,90;26,00
17.08.2014;21194;21234;52,70;12,70;40,00
18.08.2014;21234;21254;26,00;6,00;20,00
19.08.2014;21254;21283;41,80;12,80;29,00
20.08.2014;21283;21310;41,00;14,00;27,00
21.08.2014;21310;21355;54,80;9,80;45,00
22.08.2014;21355;21386;46,00;15,00;31,00
23.08.2014;21386;21398;21,20;9,20;12,00
24.08.2014;21398;21421;36,20;13,20;23,00
25.08.2014;21421;21441;28,20;8,20;20,00
26.08.2014;21441;21457;20,90;4,90;16,00
27.08.2014;21457;21474;23,10;6,10;17,00
28.08.2014;21474;21518;47,40;3,40;44,00
29.08.2014;21518;21532;25,20;11,20;14,00
30.08.2014;21532;21578;54,40;8,40;46,00
31.08.2014;21578;21582;8,10;4,10;4,00
01.09.2014;21582;21595;16,90;3,90;13,00
02.09.2014;21595;21612;20,90;3,90;17,00
03.09.2014;21612;21617;8,50;3,50;5,00
04.09.2014;21617;21621;8,90;4,90;4,00
05.09.2014;21621;21658;46,50;9,50;37,00
06.09.2014;21658;21691;36,30;3,30;33,00
07.09.2014;21691;21721;40,50;10,50;30,00
08.09.2014;21721;21763;47,80;5,80;42,00
09.09.2014;21763;21791;37,50;9,50;28,00
10.09.2014;21791;21816;30,80;5,80;25,00
11.09.2014;21816;21840;30,40;6,40;24,00
12.09.2014;21840;21841;1,00;0,00;1,00
13.09.2014;21841;21848;19,90;12,90;7,00
14.09.2014;21848;21868;26,80;6,80;20,00
15.09.2014;21868;21881;18,40;5,40;13,00
16.09.2014;21881;21916;43,30;8,30;35,00
17.09.2014;21916;21956;52,80;12,80;40,00
18.09.2014;21956;21981;30,40;5,40;25,00
19.09.2014;21981;22005;31,60;7,60;24,00
20.09.2014;22005;22032;35,00;8,00;27,00
21.09.2014;22032;22042;14,90;4,90;10,00
22.09.2014;22042;22081;44,80;5,80;39,00
23.09.2014;22081;22109;42,40;14,40;28,00
24.09.2014;22109;22118;16,30;7,30;9,00
25.09.2014;22118;22155;46,90;9,90;37,00
26.09.2014;22155;22178;27,50;4,50;23,00
27.09.2014;22178;22216;48,00;10,00;38,00
28.09.2014;22216;22246;46,90;16,90;30,00
29.09.2014;22246;22246;0,00;0,00;0,00
30.09.2014;22246;22253;12,90;5,90;7,00
01.10.2014;22253;22278;34,00;9,00;25,00
02.10.2014;22278;22311;35,20;2,20;33,00
03.10.2014;22311;22350;47,30;8,30;39,00
04.10.2014;22350;22390;43,00;3,00;40,00
05.10.2014;22390;22418;36,40;8,40;28,00
06.10.2014;22418;22434;20,20;4,20;16,00
07.10.2014;22434;22438;10,30;6,30;4,00
08.10.2014;22438;22452;18,00;4,00;14,00
09.10.2014;22452;22478;41,00;15,00;26,00
10.10.2014;22478;22481;5,70;2,70;3,00
11.10.2014;22481;22487;9,70;3,70;6,00
12.10.2014;22487;22507;25,50;5,50;20,00
13.10.2014;22507;22510;6,00;3,00;3,00
14.10.2014;22510;22540;41,30;11,30;30,00
15.10.2014;22540;22562;31,20;9,20;22,00
16.10.2014;22562;22567;8,00;3,00;5,00
17.10.2014;22567;22571;10,80;6,80;4,00
18.10.2014;22571;22603;42,40;10,40;32,00
19.10.2014;22603;22631;42,60;14,60;28,00
20.10.2014;22631;22638;11,30;4,30;7,00
21.10.2014;22638;22649;17,00;6,00;11,00
22.10.2014;22649;22650;3,70;2,70;1,00
23.10.2014;22650;22657;11,70;4,70;7,00
24.10.2014;22657;22689;37,30;5,30;32,00
25.10.2014;22689;22698;16,40;7,40;9,00
26.10.2014;22698;22718;23,30;3,30;20,00
27.10.2014;22718;22738;28,40;8,40;20,00
28.10.2014;22738;22742;8,40;4,40;4,00
29.10.2014;22742;22760;27,70;9,70;18,00
30.10.2014;22760;22764;7,40;3,40;4,00
31.10.2014;22764;22781;28,50;11,50;17,00
01.11.2014;22781;22811;32,00;2,00;30,00
02.11.2014;22811;22838;34,80;7,80;27,00
03.11.2014;22838;22856;23,50;5,50;18,00
04.11.2014;22856;22862;13,00;7,00;6,00
05.11.2014;22862;22863;4,20;3,20;1,00
06.11.2014;22863;22866;9,40;6,40;3,00
07.11.2014;22866;22888;30,10;8,10;22,00
08.11.2014;22888;22918;33,50;3,50;30,00
09.11.2014;22918;22939;27,20;6,20;21,00
10.11.2014;22939;22941;7,00;5,00;2,00
11.11.2014;22941;22950;18,20;9,20;9,00
12.11.2014;22950;22950;3,00;3,00;0,00
13.11.2014;22950;22950;2,00;2,00;0,00
14.11.2014;22950;22967;26,50;9,50;17,00
15.11.2014;22967;22978;13,00;2,00;11,00
16.11.2014;22978;22986;15,50;7,50;8,00
17.11.2014;22986;22990;7,90;3,90;4,00
18.11.2014;22990;22990;2,00;2,00;0,00
19.11.2014;22990;22990;2,00;2,00;0,00
20.11.2014;22990;22995;7,00;2,00;5,00
21.11.2014;22995;22995;5,00;5,00;0,00
22.11.2014;22995;23017;26,40;4,40;22,00
23.11.2014;23017;23041;27,80;3,80;24,00
24.11.2014;23041;23057;18,90;2,90;16,00
25.11.2014;23057;23058;4,50;3,50;1,00
26.11.2014;23058;23059;5,00;4,00;1,00
27.11.2014;23059;23062;9,60;6,60;3,00
28.11.2014;23062;23084;25,90;3,90;22,00
29.11.2014;23084;23093;11,80;2,80;9,00
30.11.2014;23093;23096;4,70;1,70;3,00
01.12.2014;23096;23096;2,00;2,00;0,00
02.12.2014;23096;23096;1,00;1,00;0,00
03.12.2014;23096;23096;1,60;1,60;0,00
04.12.2014;23096;23096;1,60;1,60;0,00
05.12.2014;23096;23096;2,10;2,10;0,00
06.12.2014;23096;23096;1,00;1,00;0,00
07.12.2014;23096;23096;1,00;1,00;0,00
08.12.2014;23096;23097;4,50;3,50;1,00
09.12.2014;23097;23097;2,60;2,60;0,00
10.12.2014;23097;23098;3,70;2,70;1,00
11.12.2014;23098;23099;5,40;4,40;1,00
12.12.2014;23099;23100;9,10;8,10;1,00
13.12.2014;23100;23101;11,50;10,50;1,00
14.12.2014;23101;23101;1,70;1,70;0,00
15.12.2014;23101;23102;1,20;0,20;1,00
16.12.2014;23102;23102;3,40;3,40;0,00
17.12.2014;23102;23102;3,00;3,00;0,00
18.12.2014;23102;23102;3,00;3,00;0,00
19.12.2014;23102;23102;4,90;4,90;0,00
20.12.2014;23102;23103;4,30;3,30;1,00
21.12.2014;23103;23104;11,00;10,00;1,00
22.12.2014;23104;23109;15,30;10,30;5,00
23.12.2014;23109;23127;21,30;3,30;18,00
24.12.2014;23127;23129;5,60;3,60;2,00
25.12.2014;23129;23130;4,40;3,40;1,00
26.12.2014;23130;23130;1,00;1,00;0,00
27.12.2014;23130;23130;1,60;1,60;0,00
28.12.2014;23130;23130;0,00;0,00;0,00
29.12.2014;23130;23130;0,00;0,00;0,00
30.12.2014;23130;23130;0,00;0,00;0,00
31.12.2014;23130;23130;0,00;0,00;0,00
